,original_title,ISBNs,DOI,Publication Title,PDF Link,Abstract,Authors,Author Keywords,Publication Year,title,keep_title
516,A Shallow Deep Neural Network for Selection of Migration Candidate Virtual Machines to Reduce Energy Consumption,978-1-6654-0426-6,10.1109/ICWR51868.2021.9443133,2021 7th International Conference on Web Research (ICWR),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9443133,"In recent years, the widespread growth of cloud computing has surprisingly increased the energy consumption in data centers. In this regard, employing energy reduction techniques is changed to one of the prominent challenges for cloud service providers and includes both dynamic and static techniques. Although by utilizing static techniques along with creating data centers energy consumption is relatively reduced, the rapid growth of cloud computing due to the increasing demands of users for these resources has changed energy consumption to a potential challenge. Utilizing dynamic energy reduction techniques which can be possible through the integration of the virtual machine into at least one physical server can be considered as an effective solution to this problem. This is done through live virtual machine migration and selecting the migration candidate virtual machine is a key step in this technique. In this paper, the combination of Convolutional Neural Network (CNN) and Gated Recurrent Unit (GRU) is used to choose the appropriate migration candidate virtual machine which leads to the diagnosis of whether a virtual machine is sensitive to latency or not. The proposed model was validated on the workload of Microsoft Azure virtual machines as a dataset. According to the empirical results, the proposed model has higher classification accuracy compared to other existing models for selecting the migration candidate virtual machines.",Z. Khodaverdian; H. Sadr; S. A. Edalatpanah,Resource allocation;Energy consumption;Cloud data centers;Virtual machine;CNN;GRU,2021,a shallow deep neural network for selection of migration candidate virtual machines to reduce energy consumption,1
517,3D-Sorter: 3D Design of a Resource-Aware Hardware Sorter for Edge Computing Platforms Under Area and Energy Consumption Constraints,978-1-7281-5775-7,10.1109/ISVLSI49217.2020.00018,2020 IEEE Computer Society Annual Symposium on VLSI (ISVLSI),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155021,"In this paper, we proposed a 3-dimensional hardware sorting architecture (3D-Sorter), based on MultiDimensional Sorting Algorithm (MDSA). the proposed architecture transforms a sequence of input records into a 3-dimensional matrix. Records of every dimension are sorted in several MDSA phases, using partial sorting methods. Our synthesis results, provided by Xilinx Vivado indicate that the 3D-Sorter design decreases the number of Look-Up Tables (LUT) and registers by 54% and 42.7%, compared to the state-of-the-art hardware sorter. Also, the power consumption is reduced by 48.15% on average. The results show that the proposed architecture is a remarkable power/area saving for edge components.",A. Norollah; Z. Kazemi; D. Hely,Hardware accelerator;multi-dimensional sorting algorithm;sorting network;parallel sorting;FPGA,2020,d sorter d design of a resource aware hardware sorter for edge computing platforms under area and energy consumption constraints,1
518,Energy Consumption and Quality of Service Optimization in Containerized Cloud Computing,978-1-7281-1275-6,10.1109/ISPRAS.2018.00014,2018 Ivannikov Ispras Open Conference (ISPRAS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8675157,"Lightweight virtualization technology has emerged as an alternative to traditional hypervisor-based virtualization. Containers based on an operating system level virtualization have shown superior performance and more flexibility than virtual machines. Both factors encourage their fast adoption and wide use in cloud environments. Container technology guarantees efficient interaction with hardware through system calls and isolation of tasks execution. The portability and ease of deployment enable containers to execute a variety of jobs. Several techniques have been used to address the problem of job allocation on containers. In this paper, a set of allocation strategies is proposed to distribute the workload to multiple OS containers that are running on several servers. We address two objective scheduling problem: minimizing energy and a number of SLA violations. We propose seventy-two strategies and analyze their performance by comprehensive simulation. We demonstrate that proposed techniques outperform previous works in terms of both the energy savings and QoS.",R. Canosa; A. Tchernykh; J. M. Cortés-Mendoza; R. Rivera-Rodriguez; J. L. Rizk; A. Avetisyan; Z. Du; G. Radchenko; E. R. Concepción Morales,"cloud computing, containers, scheduling strategies",2018,energy consumption and quality of service optimization in containerized cloud computing,1
519,Exploiting Hybrid SPM-Cache Architectures to Reduce Energy Consumption for Embedded Computing,978-1-4799-6123-8,10.1109/HPCC.2014.59,"2014 IEEE Intl Conf on High Performance Computing and Communications, 2014 IEEE 6th Intl Symp on Cyberspace Safety and Security, 2014 IEEE 11th Intl Conf on Embedded Software and Syst (HPCC,CSS,ICESS)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7056763,"Scratch-Pad Memories (SPMs) have been increasingly used in embedded systems due to their time predictability and better energy efficiency as compared to caches. However, the SPM is typically controlled by software, which is less adaptive to runtime instruction/data access patterns that are dependent on the input data and hence may lead to performance degradation. In this paper, we study the energy dissipation of a number of hybrid on-chip memory architectures by combining both caches and SPMs without increasing the total on-chip memory size. In the hybrid SPM-cache architectures, the instructions/data in the SPMs can be accessed more energy-efficiently, while other instructions/data not stored into the SPMs can exploit the cache to take advantage of runtime locality for reducing energy consumption. Our experimental results indicate that with the equivalent total on-chip memory size, several hybrid SPM-cache architectures are more energy-efficient than either pure software-controlled SPMs or pure hardware-controlled caches. In particular, using the hybrid SPM-cache to store both instructions and data can achieve the best energy efficiency.",W. Zhang; L. Wu,,2014,exploiting hybrid spm cache architectures to reduce energy consumption for embedded computing,1
520,Energy Consumption Minimization using Data Compression in Mobile Edge Computing,978-1-7281-7327-6,10.1109/ICCC49849.2020.9238837,2020 IEEE/CIC International Conference on Communications in China (ICCC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238837,"In recent years, many researchers have done a lot of work on mobile edge computing (MEC). However, existing works on energy minimization of MEC systems mainly focus on comparing energy consumption between accomplishing tasks locally and computing tasks on MEC server, failing to explore energy optimal solutions for computing tasks on MEC server. In this paper, we consider a single-user-single-server MEC system, working under latency constraint. In order to reduce the energy consumption of mobile device and meet the latency constraint, we use computation offloading to accomplish large tasks. However, energy consumed by mobile devices (MD) for the transmitting process could be decreased further by compressing data transmitted from MD to mobile-edge server (MEC server). But energy consumed when compressing data on MD increases while the compression rate decreases. Therefore, we develop a solution to figure out the optimal compression rate to minimize the total energy for MD to accomplish one simple task and to meet the latency constraint at the same time. With the optimal compression rate, energy consumption for task-process could be reduced by 38.37% to 60.49% when the latency constraint varies from 0.1s to 0.8s.",B. Wang; Y. Liu; G. Shou; Y. Hu,MEC;computation offloading;data compression;energy optimal problem,2020,energy consumption minimization using data compression in mobile edge computing,1
522,A Delay and Energy Consumption Efficient Offloading Algorithm in Mobile Edge Computing System,978-1-7281-2184-0,10.1109/ICCSN.2019.8905398,2019 IEEE 11th International Conference on Communication Software and Networks (ICCSN),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8905398,"With the rapid development of mobile Internet and increasing numbers of mobile devices, mobile edge computing (MEC) which offers computational capability within radio access network has become the key technology to enhance users' experience. In this paper, we investigate the computing offloading problem considering delay and energy consumption of mobile devices jointly in wireless access network. Then, the optimization problem minimizing the delay and energy consumption of mobile devices is formulated and transformed into convex optimization. To solve the optimization, a delay and energy consumption efficient offloading algorithm (DEOA) based on alternating direction method of multipliers (ADMM) is proposed. The simulation results show that the proposed algorithm significantly reduces delay and energy consumption compared to stochastic allocation. Meanwhile, compared with joint delay and energy efficient offloading scheme (JCDE) proposed in another paper, the consumption is reduced while the average speed of solution is increased by about 65% under various system parameters.",Z. Hao; Y. Sun; Y. Zhang,mobile edge computing;delay and energy consumption efficient offloading algorithm;alternating direction method of multipliers;wireless network;global consensus optimization,2019,a delay and energy consumption efficient offloading algorithm in mobile edge computing system,1
523,Mobile-Computing Based Rationalization for Energy Consumption,978-1-5386-2269-8,10.1109/ICPET.2017.12,2017 International Conference on Promising Electronic Technologies (ICPET),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109034,"This contribution shows how rationalized energy consumption can be achieved using user-oriented mobile application. It is undoubtable that energy efficiency improvement is one of the most important targets to be achieved on every society as a whole and in power system in particular. With the advent of smart grids, residential end users are expected to shift from their passive role as consumers of electricity to an active contributor role, referred to as co-provider, a term that reflects the consumer ability to reduce electricity usage, shift usage from on-peak to off-peak periods, generate and trade excess electricity. Based on different environmental behavior change models from behavior science, as well as a user study with prospective users, a hybrid energy consumption behavioral change model was proposed, and a set of well-defined requirements were identified and guided us through the design and development of a mobile cloud application called Mobile Cloud for Smart Grid Metering. This paper will describe the architecture, design and implementation of the proposed prototype, in addition to presenting and discussing the evaluations of usability results.",S. Odeh; D. Voskergian,cloud computing;design criteria;behavioral changemodel;rationalized energy consumption,2017,mobile computing based rationalization for energy consumption,1
524,Energy consumption reduction by integrating Wireless Sensors and Actuators Networks Supervisory Controller with the Cloud Computing,978-1-5090-3474-1,10.1109/IECON.2016.7793863,IECON 2016 - 42nd Annual Conference of the IEEE Industrial Electronics Society,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7793863,"In this paper we present a new framework for energy consumption conservation in green smart building. We propose an energy efficient smart wireless control system that integrates Wireless Sensors Actuators Networks (WSAN), Machine Learning and Cloud Computing. Moving WSANs Supervisory controlled by Petri nets system to the cloud have many advantages such as scalability, and availability. The first component of our proposed framework is Petri Nets supervisory controller which is implemented to monitor and control the entire system. Moreover, fault-tolerant algorithms could be developed and deployed with the supervisory system. The second component of our framework is the machine learning scheme that is responsible of processing and manipulating users preferences based on Spiking Neural Networks. This is very crucial as it considers behavioral preferences of tenants of building called user preferences. Finally integrating all components of the framework and deploy it on the cloud environment gives WSAN the benefits of using cloud resources and make the system highly available, scalable and fault-tolerant.",K. E. Bouazza; W. A. Deabes; H. H. Amin; G. A. Elsayed,wireless sensor networks;Petri Nets;Spiking Neural Networks;Cloud computing;Energy saving,2016,energy consumption reduction by integrating wireless sensors and actuators networks supervisory controller with the cloud computing,1
525,Energy consumption in mobile computing,978-1-4673-6155-2,10.1109/CONIELECOMP.2013.6525773,"CONIELECOMP 2013, 23rd International Conference on Electronics, Communications and Computing",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6525773,"Mobile devices users have risen in recent years, by convergence of functionality and technology on it. Mobile devices also appear in market as interactive devices where users expects short-time response, usability and functionality. That convergence of digital entertainment, mobile communication technologies, and a set of new capabilities, becomes requirements for mobile application developers and hardware architects, thus both professionals have the dilemma of offer low power consumption and high performance on it. However, both concepts are opposite each other. That means, if I get a great performance, probably have attached high power consumption. Programmers have found in parallel computing, multithreading programming, and process scheduling, the way to achieve more efficiency in their programs. Moreover, hardware architects have found in multicore processors the way to achieve better performance and low-power consumption. This work wants to join both solutions and check if we can achieve less response time in applications and processes, and get a balance between performance and energy consumption.",R. I. Ramírez; E. H. Rubio; A. M. Viveros,Energy Consumption;Mobile Computing;Parallel Computing;Multithreading;Systems-On-Chip,2013,energy consumption in mobile computing,1
526,Effective task offloading heuristics for minimizing energy consumption in edge computing,978-1-6654-5417-9,10.1109/iThings-GreenCom-CPSCom-SmartData-Cybermatics55523.2022.00069,"2022 IEEE International Conferences on Internet of Things (iThings) and IEEE Green Computing & Communications (GreenCom) and IEEE Cyber, Physical & Social Computing (CPSCom) and IEEE Smart Data (SmartData) and IEEE Congress on Cybermatics (Cybermatics)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903203,"Mobile edge computing (MEC) allows user devices to offload computing tasks to edge servers, which are deployed close to users, for fast execution, short delay and energy saving. As a result, user devices save energy, but edge servers consume tremendous amount of energy. Accordingly, besides regarding the amount of energy consumed by user devices, it is also necessary to take into account that of energy consumed by edge servers. In this paper, we propose effective heuristics for offloading tasks from multi-user devices to multi-core edge servers with the objective of minimizing the total amount of energy consumption under the deadline constraint. The proposed heuristics start from initial task sequences that are generated by the well-known long and short task first rules, respectively. Then, tasks from the initial task sequences are scheduled in a greedy manner so that the considered total amount of energy consumption can be minimized without the violation of the deadline constraint. Simulation experimental results show that the proposed algorithms significantly outperform the compared baseline RoundRobin, indicating the good effectiveness of our heuristics.",G. Yin; R. Chen; Y. Zhang,edge computing;task offloading;heuristic;energy efficiency,2022,effective task offloading heuristics for minimizing energy consumption in edge computing,1
527,Energy Consumption Analysis of Scheduling Algorithms for Cloud Computing Systems,978-1-7281-3783-4,10.1109/CCWC47524.2020.9031113,2020 10th Annual Computing and Communication Workshop and Conference (CCWC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9031113,"With more and more data and service moved to different cloud computing systems, progress in the area of energy consumption and environmentally friendly practices must be made so these advancements do not plateau. The goal of this study is to provide exceptional insight regarding which scheduling algorithms will yield environmentally sustainable, commonly referred to as ‘green,’ practices for energy efficiency. This will be achieved by tracking the similarities and differences of multiple scheduling algorithms, considering various datacenter topologies and their task sizes (MIPS). Trace files produced by the simulator will be used to create a visual representation of the observed data and analyze the energy consumption of the servers and switches (core, aggregation, and access).",P. Hovsepian; Y. Tian,algorithms;cloud computing;consumption;data center;energy;green;scheduling;simulation;task;topologies,2020,energy consumption analysis of scheduling algorithms for cloud computing systems,1
528,A new multifunctional neural network with high performance and low energy consumption,978-1-5090-3846-6,10.1109/ICCI-CC.2016.7862082,2016 IEEE 15th International Conference on Cognitive Informatics & Cognitive Computing (ICCI*CC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7862082,"A common artificial neural network (ANN) uses the same activation function for all hidden and output neurons. Therefore, it has an optimization limitation for complex big data analysis due to its single mathematical functionality. In addition, an ANN with a complicated activation function uses a very long training time and consumes a lot of energy. To address these issues, this paper presents a new energy-efficient “Multifunctional Neural Network” (MNN) that uses a variety of different activation functions to effectively improve performance and significantly reduce energy consumption. A generic training algorithm is designed to optimize the weights, biases, and function selections for improving performance while still achieving relatively fast computational time and reducing energy usage. A novel general learning algorithm is developed to train the new energy-efficient MNN. For performance analysis, a new “Genetic Deep Multifunctional Neural Network” (GDMNN) uses genetic algorithms to optimize the weights and biases, and selects the set of best-performing energy-efficient activation functions for all neurons. The results from sufficient simulations indicate that this optimized GDMNN can perform better than other GDMNNs in terms of achieving high performance (prediction accuracy), low energy consumption, and fast training time. Future works include (1) developing more effective energy-efficient learning algorithms for the MNN for data mining application problems, and (2) using parallel cloud computing methods to significantly speed up training the MNN.",L. M. Zhang,Neural networks;deep learning;energy-efficient computing;data mining;activation functions;genetic algorithms,2016,a new multifunctional neural network with high performance and low energy consumption,1
529,Improvement of Energy Consumption in Cloud Computing,978-1-7281-9111-9,10.1109/ICCCEEE49695.2021.9429615,"2020 International Conference on Computer, Control, Electrical, and Electronics Engineering (ICCCEEE)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9429615,"For small to large scale cloud computing data centers, the power consumption of physical and virtual machines is a major challenge. Two states of the virtual machine, active state if selected by cloudlet and idle state if not selected. Two types of works are applied which are existing work and proposed work. In existing work non-power aware data center, the power consumption used time-shared data center that discarded cloudlet file size to selected VMs. To performance-enhanced of power consumption in existing work applied power-aware data center in proposed work used the intelligent distribution of cloudlets that according to cloudlet file size organized cloudlet on five range to selected VMs. The result shows in existing work that five VMs selected by five cloudlets, which consumed all power of the host. VM1 difference in existing work to proposed work by selected cloudlet1 with file size 300 to consumed 1000 second in existing work and selected three cloudlets which are cloudlet1 with file size 300, cloudlet2 with file size 400 and cloudlet3 with file size 500 to consumed 2999.99 seconds in proposed work, so there is a positive relationship of VM execution time and number of cloudlets that selected by VM. That positive relationship affected positively the power consumption of VM, but at the same time, the VM2 and VM3 not selected by cloudlet stayed in the idle state near to zero power consumption and zero execution time in proposed work to the reduced power consumption of host from 7.134 KW to 6.562 kW with difference 0.572 kW. VM4 and VM5 were selected by cloudlet4 and cloudlet5 in two work there is no change similar to VM2 and VM3. Performance enhancement of VMs power consumption reduced the cost to increased lifetime and reduced carbon footprints to make environment-friendly.",H. A. F. Almula; M. E. Hamza; M. E. A. Kanona,power consumption;virtual machines;cloudlet;performance,2021,improvement of energy consumption in cloud computing,1
530,Minimizing Terminal Energy Consumption of Task Offloading via Resource Allocation in Mobile Edge Computing,978-1-6654-0527-0,10.1109/CSCWD54268.2022.9776100,2022 IEEE 25th International Conference on Computer Supported Cooperative Work in Design (CSCWD),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9776100,"Mobile Edge Computing (MEC) is considered a promising technology that can support Internet of Things (IoT) devices to deploy their applications on edge servers to reduce IoT devices’ computing and energy consumption. However, the sustainability of IoT devices will not be guaranteed when an edge server needs to serve excessive computing tasks concurrently without a reasonable offloading strategy and efficient resources allocation. Therefore, this paper effectively allocates resources to obtain an offloading strategy with high perceived service quality. To tackle this challenge, we formally model the computational offloading problem for the minimum energy consumption of IoT devices under the constraints of latency and communication interference. We propose a collaborative genetic particle swarm algorithm with reverse learning (RL-GPSO) and have extensively evaluated this method through many experiments. Experimental results prove that RL-GPSO can obtain excellent performance.",W. Tan; K. Ding; X. Zhang; Z. Liang; J. Liu,mobile edge computing;task offload;particle swarm optimization;reverse learning;genetic algorithm,2022,minimizing terminal energy consumption of task offloading via resource allocation in mobile edge computing,1
535,LEMAX: Learning-based Energy Consumption Minimization in Approximate Computing with Quality Guarantee,978-1-5386-4114-9,10.1109/DAC.2018.8465881,2018 55th ACM/ESDA/IEEE Design Automation Conference (DAC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8465881,"Approximate computing aims to trade accuracy for energy efficiency. Various approximate methods have been proposed in the literature that demonstrate the effectiveness of relaxing accuracy requirements in a specific unit. This provides a basis for exploring simultaneous use of multiple approximate units to improve efficiency under guarantees on quality of results. In this paper, we explore the effect of combining multiple approximate units on the energy consumption and identify the best setting that minimizes energy consumption under a quality constraint. Our approach also enables changes in unit configurations throughout the program. To do this effectively, we need a method to examine the combined impact of multiple approximate units on the output quality, and configure individual units accordingly. To solve this problem, we propose LEMAX that uses gradient descent approach to identify the best configuration of the individual approximate units for a given program. We evaluate the efficacy of LEMAX in minimizing the energy consumption of several machine learning applications with varying size (i.e., number of operations) under different quality constraints. Our evaluation shows that the configuration provided by LEMAX for a system with multiple approximate units improves the energy consumption by on average, 97.7%, 83.12%, and 73.95% for quality loss of 5%, 2% and 0.5%, respectively, compared to configurations obtained for a system with a single approximate resource.",V. Akhlaghi; S. Gao; R. K. Gupta,Approximate computing;Design Automation;Machine Learning,2018,lemax learning based energy consumption minimization in approximate computing with quality guarantee,1
536,Profiling Software for Energy Consumption,978-1-4673-5146-1,10.1109/GreenCom.2012.86,2012 IEEE International Conference on Green Computing and Communications,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6468359,"The amount of energy consumed by computer systems can be lowered through the use of more efficient algorithms and software. Unfortunately, software developers lack the tools to pinpoint energy-hungry sections in their code and therefore have to rely on their intuition when trying to optimize their code for energy consumption. We have developed eprof, a profiler that relates energy consumption to code locations, it attributes both the synchronously consumed energy in the CPU and the asynchronously consumed energy in peripheral devices like hard drives, network cards, etc. Eprof requires minimal changes to the kernel (tens of lines of code) and does not require special hardware to energy-profile software. Therefore eprof can be widely used to help developers make energy-aware decisions.",S. Schubert; D. Kostic; W. Zwaenepoel; K. G. Shin,Energy consumption by software;energy profiling,2012,profiling software for energy consumption,1
537,GreenAdvisor: A tool for analyzing the impact of software evolution on energy consumption,978-1-4673-7532-0,10.1109/ICSM.2015.7332477,2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332477,"Change-impact analysis, namely “identifying the potential consequences of a change” is an important and well studied problem in software evolution. Any change may potentially affect an application's behaviour, performance, and energy consumption profile. Our previous work demonstrated that changes to the system-call profile of an application correlated with changes to the application's energy-consumption profile. This paper evaluates and describes GreenAdvisor, a first of its kind tool that systematically records and analyzes an application's system calls to predict whether the energy-consumption profile of an application has changed. The GreenAdvisor tool was distributed to numerous software teams, whose members were surveyed about their experience using GreenAdvisor while developing Android applications to examine the energy-consumption impact of selected commits from the teams' projects. GreenAdvisor was evaluated against commits of these teams' projects. The two studies confirm the usefulness of our tool in assisting developers analyze and understand the energy-consumption profile changes of a new version. Based on our study findings, we constructed an improved prediction model to forecast the direction of the change, when a change in the energy-consumption profile is anticipated. This work can potentially be extremely useful to developers who currently have no similar tools.",K. Aggarwal; A. Hindle; E. Stroulia,Software energy consumption;energy efficiency;software tools;application software,2015,greenadvisor a tool for analyzing the impact of software evolution on energy consumption,1
538,Deep Green: Modelling Time-Series of Software Energy Consumption,978-1-5386-0992-7,10.1109/ICSME.2017.79,2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094428,"Inefficient mobile software kills battery life. Yet, developers lack the tools necessary to detect and solve energy bugs in software. In addition, developers are usually tasked with the creation of software features and triaging existing bugs. This means that most developers do not have the time or resources to research, build, or employ energy debugging tools. We present a new method for predicting software energy consumption to help debug software energy issues. Our approach enables developers to align traces of software behavior with traces of software energy consumption. This allows developers to match run-time energy hot spots to the corresponding execution. We accomplish this by applying recent neural network models to predict time series of energy consumption given a software's behavior. We compare our time series models to prior state-of-the-art models that only predict total software energy consumption. We found that machine learning based time series based models, and LSTM based time series based models, can often be more accurate at predicting instantaneous power use and total energy consumption.",S. Romansky; N. C. Borle; S. Chowdhury; A. Hindle; R. Greiner,energy;software engineering;online model;profiling;green mining;modelling,2017,deep green modelling time series of software energy consumption,1
539,A system-call based model of software energy consumption without hardware instrumentation,978-1-5090-0172-9,10.1109/IGCC.2015.7393719,2015 Sixth International Green and Sustainable Computing Conference (IGSC),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7393719,"The first challenge to develop an energy efficient application is to measure the application's energy consumption, which requires sophisticated hardware infrastructure and significant amounts of developers' time. Models and tools that estimate software energy consumption can save developers time, as application profiling is much easier and more widely available than hardware instrumentation for measuring software energy consumption. Our work focuses on modelling software energy consumption by using system calls and machine learning techniques. This system call based model is validated against actual energy measurements from five different Android applications. These results demonstrate that system call counts can successfully model software energy consumption if the idle energy consumption of an application is estimated or known. In the absence of any knowledge of an application's idle energy consumption, our system call based approach is still useful to compare the energy consumption among different versions of the same application.",S. A. Chowdhury; L. N. Kumar; M. T. Imam; M. S. M. Jabbar; V. Sapra; K. Aggarwal; A. Hindle; R. Greiner,,2015,a system call based model of software energy consumption without hardware instrumentation,1
540,Awakening Awareness on Energy Consumption in Software Engineering,978-1-5386-2673-3,10.1109/ICSE-SEIS.2017.10,2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering in Society Track (ICSE-SEIS),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7961670,"Software producing organizations have the ability to address the energy impact of their ICT solutions during the development process. However, while industry is convinced of the energy impact of hardware, the role of software has mostly been acknowledged by researchers in software engineering. Strengthened by the limited practical knowledge to reduce the energy consumption, organizations have less control over the energy impact of their products and lose the contribution of software towards energy related strategies. Consequently, industry risks not being able to meet customer requirements or even fulfillcorporate sustainability goals. In this paper we perform an exploratory case study on how to create and maintain awareness on an energy consumption perspective for software among stakeholders involved with the development of software products. During the study, we followed the development process of two commercial software products and provided direct feedback to the stakeholders on the effects of their development efforts, specifically concerning energy consumption and performance, using an energy dashboard. Multiple awareness measurements allowed us to keep track of changes over time on specific aspects affecting software development. Our results show that, despite a mixed sentiment towards the dashboard, changed awareness has triggered discussion on the energy consumption of software.",E. Jagroep; J. Broekman; J. M. E. M. van der Werf; P. Lago; S. Brinkkemper; L. Blom; R. van Vliet,Energy consumption perspective;Awareness;Software energy consumption;Software engineering,2017,awakening awareness on energy consumption in software engineering,1
541,A software tool to efficiently manage the energy consumption of HPC clusters,978-1-4673-7428-6,10.1109/FUZZ-IEEE.2015.7338079,2015 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7338079,"Today, High Performance Computing clusters (HPC) are an essential tool owing to they are an excellent platform for solving a wide range of problems through parallel and distributed applications. Nonetheless, HPC clusters consume large amounts of energy, which combined with notably increasing electricity prices are having an important economical impact, forcing owners to reduce operation costs. In this work we propose a software, named EECluster, to reduce the high energy consumption of HPC clusters. EECluster works with both OGE/SGE and PBS/TORQUE resource management systems and automatically tunes its decision-making mechanism based on a machine learning approach. The quality of the obtained results using this software are evaluated by means of experiments made using actual workloads from the Scientific Modelling Cluster at Oviedo University and the academic-cluster used by the Oviedo University for teaching high performance computing subjects.",A. Cocaña-Fernández; L. Sánchez; J. Ranilla,,2015,a software tool to efficiently manage the energy consumption of hpc clusters,1
542,Semidefinite programming based resource allocation for energy consumption minimization in software defined wireless sensor networks,978-1-5090-3254-9,10.1109/PIMRC.2016.7794902,"2016 IEEE 27th Annual International Symposium on Personal, Indoor, and Mobile Radio Communications (PIMRC)",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7794902,"In this paper, one centralized resource allocation algorithm is proposed to minimize energy consumption in software defined wireless sensor networks (SD-WSNs). The energy consumption problem is formulated as an optimization problem, given quality-of-service (QoS) constraint defined as Signal-to-Interference-plus-Noise Ratio (SINR). Then, the nonconvex optimization problem is relaxed into a semidefinite programming (SDP), which serves as a lower bound. To analyze the tightness of the lower bound, two special cases are introduced. Besides, one distributed approach is also developed to provide a performance benchmark. Furthermore, simulation results are revealed that the proposed centralized algorithm performances better with respect to the energy consumption and bandwidth utilization.",Y. Zhang; Y. Zhu; F. Yan; Z. Li; L. Shen,resource allocation;software defined wireless sensor networks (SD-WSNs);semidefinite programming (SDP),2016,semidefinite programming based resource allocation for energy consumption minimization in software defined wireless sensor networks,1
543,Software-Directed Data Access Scheduling for Reducing Disk Energy Consumption,978-1-4577-0295-2,10.1109/ICDCS.2012.12,2012 IEEE 32nd International Conference on Distributed Computing Systems,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6258032,"Most existing research in disk power management has focused on exploiting idle periods of disks. Both hardware power-saving mechanisms (such as spin-down disks and multi-speed disks) and complementary software strategies (such as code and data layout transformations to increase the length of idle periods) have been explored. However, while hardware power-saving mechanisms cannot handle short idle periods of high-performance parallel applications, prior code/data reorganization strategies typically require extensive code modifications. In this paper, we propose and evaluate a compiler-directed data access (I/O call) scheduling framework for saving disk energy, which groups as many data requests as possible in a shorter period, thus creating longer disk idle periods for improving the effectiveness of hardware power-saving mechanisms. As compared to prior software based efforts, it requires no code or data restructuring. We evaluate our approach using six application programs in a cluster-based simulation environment. The experimental results show that it improves the effectiveness of both spin-down disks and multi-speed disks with doubled power savings on average.",Y. Zhang; J. Liu; M. Kandemir,disk power management;spin-down disk;multi-speed disk;compiler-directed data access scheduling;I/O call scheduling,2012,software directed data access scheduling for reducing disk energy consumption,1
544,A Methodology for Relating Software Structure with Energy Consumption,978-1-5386-3238-3,10.1109/SCAM.2017.18,2017 IEEE 17th International Working Conference on Source Code Analysis and Manipulation (SCAM),https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8090144,"With the widespread use of mobile devices relying on limited battery power, the burden of optimizing applications for energy has shifted towards the application developers. In their quest to develop energy efficient applications, developers face the hurdle of measuring the effect of software change on energy consumption. A naive solution to this problem would be to have an exhaustive suite of test cases that are executed upon every change to measure their effect on energy consumption. This method is inefficient and also suffers from environment dependent inconsistencies. A more generalized method would be to relate software structural metrics with its energy consumption behavior. Previous attempts to relate change in objectoriented metrics to their effects on energy consumption have been inconclusive. We observe that structural information is global and executed tests are rarely comprehensive in their coverage, this approach is prone to errors. In this paper, we present a methodology to relate software energy consumption with software structural metrics considering the test case execution traces. Furthermore, we demonstrate that software structural metrics can be reliably related to energy consumption behavior of programs using several versions of three open-source iteratively developed android applications. We discover that by using our approach we are able to identify strong correlations between several software metrics and energy consumption behavior.",A. A. Bangash; H. Sahar; M. O. Beg,energy;energy consumption;mining software repositories;software metrics;sustainable-software;static-analysis,2017,a methodology for relating software structure with energy consumption,1
